source_id,pf,pf_error,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,radius_gspphot,ew_espels_halpha,spectraltype_esphs
4659234368728481280,5.38004186723189,1.1771281E-4,5495.364,3.3979,-0.3172,4474.1504,0.0076,3.9612,0.056471292,F
4659241339466934784,2.655458958909758,5.4237436E-5,6012.4014,4.0163,-0.7848,2557.402,0.4735,1.4781,-9.7913726E-5,F
4659243096101783936,4.778801976530508,1.2239689E-4,5960.7314,3.6841,-0.0601,3848.8645,0.3572,2.9109,-0.06173604,F
4659243577138724096,3.4797603874474845,6.108246E-4,5677.636,3.4244,-0.4878,5829.284,0.0039,3.9491,0.25430757,F
4659246772593928960,3.192214350252694,1.536593E-4,6367.957,3.9233,-0.2711,3545.4016,0.2722,1.997,0.09180715,F
4659249246494771840,5.506209729116467,0.0011922128,5746.8984,3.6248,-0.0642,3542.219,0.2208,3.0855,0.1440887,F
4659252373231018752,3.6477897166551725,2.9462177E-4,,,,,,,0.13540456,F
4659259584459299840,1.7987922181141063,2.8881428E-5,5459.2983,4.3873,-1.5729,2298.6892,0.2122,0.9546,0.13343994,G
4249529466887856256,1.3528321428482915,3.0541072E-5,6505.4272,3.7791,-1.1125,2864.8354,0.7254,2.1676,0.24670507,F
2021445908555851264,2.985945209540304,4.608669E-5,8346.689,4.0256,-1.208,1343.7968,6.6701,1.8781,0.08223377,unknown
2021462302494358912,4.561375302725151,9.322647E-5,7065.956,3.1157,-0.1439,2842.4678,6.0863,7.7353,0.13476612,unknown
5436296928693979392,5.898398692509765,1.3522222E-4,5231.1987,1.877,-0.6387,2543.2458,0.0842,41.0511,0.09579646,F
5355883832259604480,5.825610071799319,0.0010797535,,,,,,,,
6060173364074372352,4.689797153353072,6.3587846E-5,6355.053,1.8817,-0.189,770.6006,1.048,44.4629,0.05646629,F
4071671469593235328,2.4120043848273887,7.6571385E-5,5764.6436,3.5459,-3.3868,2631.402,0.6217,2.4579,0.067789614,O
2177659955093549440,3.2405522248634884,1.3062017E-4,,,,,,,0.15295628,O
3351921532976862336,4.978351712149982,7.0791756E-4,5918.4727,2.4256,-0.0094,2195.906,2.6451,20.0319,0.14224716,G
246160037616115584,5.249139357385853,0.0022405859,3716.327,4.8231,-0.6384,578.8418,0.9371,0.4186,,
246611563239644544,2.9891760055302035,5.9091846E-5,6327.0303,2.2198,-0.3061,3065.4253,2.6963,27.8682,0.13486381,F
4096107909387492992,5.77342723824618,2.645699E-4,5371.7217,1.738,-0.2457,514.5264,0.4554,50.0993,0.05439265,F
614188402162150272,2.064068432946064,1.29476E-4,,,,,,,0.11357992,K
618248555005833472,1.3212029009952357,3.219808E-5,6712.433,3.383,-0.8303,2764.5603,0.4726,4.2981,-0.003997573,F
3343252261748847104,3.1499035729303193,1.0791326E-4,,,,,,,0.121144444,F
3344297935963515008,4.909550393565273,5.893595E-4,5894.7207,2.3882,-0.2178,2950.0625,1.7682,21.3422,0.13184966,F
3344381567567275392,3.5632219487315777,2.746963E-4,5790.929,2.2951,-4.067,2022.4906,4.2158,18.8595,0.06706509,O
5520277936069189760,2.6520355981472044,4.1666684E-5,,,,,,,0.22847353,A
5520440663787736192,2.5515876914142357,2.2135722E-4,,,,,,,0.10874628,F
5520505328816739584,3.283530909393743,9.300822E-5,,,,,,,0.07908182,F
5520506531407532928,2.7730857521566588,3.0212403E-5,,,,,,,-0.008513401,F
5520879231487490176,4.120701758040082,7.650646E-5,,,,,,,0.09629068,unknown
5520935444020919296,2.5404743714470377,4.9800412E-5,,,,,,,0.114187494,F
5520993099661921536,2.8088284360440654,2.3177216E-5,,,,,,,0.07678868,unknown
6755189954031860864,1.793976818844389,4.0742405E-5,5835.2173,3.1651,-0.8786,3972.3972,0.0523,5.598,0.27463785,F
4161226962213064832,5.402510338162413,0.0022414818,,,,,,,,
5188379665334866176,0.6219627800893595,8.736139E-6,6173.523,3.1676,-0.9927,2478.2385,0.1601,5.1871,0.19384572,unknown
4312219187494119680,3.213302646531936,1.9182323E-4,,,,,,,,
6716879292429356928,3.336294049024275,3.6026296E-4,5841.153,3.1162,-0.5996,3652.0942,0.0011,5.9736,0.10214466,B
3349047375222899456,3.0207573240969308,1.2815803E-4,,,,,,,0.068990156,O
5903991551246840576,0.8445433206870958,1.93554E-5,5803.048,4.1821,-3.8296,1772.5426,0.8664,1.3469,0.2400266,F
5836422885318557568,2.8942426224943274,7.101703E-5,6732.99,3.71,-0.4272,2148.5923,3.7562,2.9004,0.15649565,A
2073935223599391872,3.370813916909155,4.7890484E-5,,,,,,,0.16932695,F
4050543838309676544,2.597074280453824,6.279035E-5,7637.601,4.1261,-0.5856,2118.4028,1.9048,1.6661,0.22290996,F
5893557873128232832,1.8463707739578694,1.0597127E-5,7194.934,3.6976,-0.2783,2292.7456,3.2626,2.9795,0.14796346,F
