p1,int_average_g,type_best_classification,type2_best_sub_classification,mode_best_classification
3.6867476663487686,15.341123883495392,DCEP,,FUNDAMENTAL
1.8294896409154484,15.57496610450358,DCEP,,FIRST_OVERTONE
10.440182635101786,14.651504247885619,DCEP,,FUNDAMENTAL
3.2618323783242635,15.57357621657986,DCEP,,FUNDAMENTAL
3.0774313408935168,15.790265201818379,DCEP,,FUNDAMENTAL
2.4510499932283287,15.339642056148275,DCEP,,FIRST_OVERTONE
2.0942214743830245,15.512025855359173,DCEP,,FIRST_OVERTONE
3.2123047115855536,15.751727731972043,DCEP,,FUNDAMENTAL
1.946796457332865,15.577711263652944,DCEP,,FIRST_OVERTONE
2.0391104876470063,15.431366628992567,DCEP,,FIRST_OVERTONE
1.7685372422007914,15.631894320142104,DCEP,,FIRST_OVERTONE
2.9566001613612984,15.62774881252411,DCEP,,FUNDAMENTAL
1.1645370198615221,16.34735867471422,DCEP,,FIRST_OVERTONE
9.18666166650539,16.928528016796037,T2CEP,W_VIR,NOT_APPLICABLE
1.8707599261410135,15.706348756693167,DCEP,,FIRST_OVERTONE
4.195551845237016,14.774958995339206,DCEP,,FIRST_OVERTONE
5.107476346501745,15.102258388908679,DCEP,,FUNDAMENTAL
2.890801257846806,15.115315726979613,DCEP,,FIRST_OVERTONE
2.076009271044547,16.824711879784793,DCEP,,FIRST_OVERTONE
2.567615694311822,15.463918524678398,DCEP,,FIRST_OVERTONE
4.082879357350364,15.733350859314832,DCEP,,FUNDAMENTAL
6.69537255958038,14.721599036085763,DCEP,,FUNDAMENTAL
1.8857166827027791,15.916543340814918,DCEP,,FIRST_OVERTONE
4.041525905796865,15.609845861989427,DCEP,,FUNDAMENTAL
2.1907205981417177,15.682362841956483,DCEP,,FIRST_OVERTONE
2.5725566686435184,15.321280751035522,DCEP,,FIRST_OVERTONE
4.276504090813826,15.390201450298424,DCEP,,FUNDAMENTAL
3.6747117942358,15.539543886599095,DCEP,,FUNDAMENTAL
4.397259975516958,15.458764716136866,DCEP,,FUNDAMENTAL
1.80655973535586,15.823001994589681,DCEP,,FIRST_OVERTONE
4.336441383915019,15.362224427341992,DCEP,,FUNDAMENTAL
2.348551960976033,15.36150551855022,DCEP,,FIRST_OVERTONE
3.2219778423392564,15.661485831752257,DCEP,,FUNDAMENTAL
1.9557632246232024,15.80480541029723,DCEP,,FIRST_OVERTONE
2.1361506713993985,15.865266081856484,DCEP,,FIRST_OVERTONE
4.63549525901887,15.137653252137834,DCEP,,FUNDAMENTAL
5.068605977362692,14.999149356635861,DCEP,,FUNDAMENTAL
1.46566845583117,15.894806210040242,DCEP,,FIRST_OVERTONE
1.1952974973076083,17.438039288931574,DCEP,,FUNDAMENTAL
0.8432680738794346,17.039400760885982,DCEP,,FIRST_OVERTONE
3.6668026532987024,15.303601593924391,DCEP,,FUNDAMENTAL
2.1184466557763812,15.527105337219345,DCEP,,FIRST_OVERTONE
3.3542559480525918,15.784073734599406,DCEP,,FUNDAMENTAL
0.9316696260138742,18.043140661203672,ACEP,,UNDEFINED
3.4438579481673175,15.744235923085537,DCEP,,FUNDAMENTAL
3.0724523739315783,15.689536680529343,DCEP,,FUNDAMENTAL
2.9613325506573207,15.851715105059952,DCEP,,FUNDAMENTAL
1.1159277140402553,16.65976932623257,DCEP,,FIRST_OVERTONE
2.6275945908263507,15.364008386312413,DCEP,,FIRST_OVERTONE
0.37099965624943393,18.074959860810193,DCEP,,UNDEFINED
5.965875897894971,15.261185539338273,DCEP,,FUNDAMENTAL
4.013527019181779,15.525700421416719,DCEP,,FUNDAMENTAL
3.565819330258264,15.718866542282353,DCEP,,FUNDAMENTAL
1.8179631651551262,16.226483561426303,DCEP,,FIRST_OVERTONE
2.8518849116475944,15.953611111195512,DCEP,,FUNDAMENTAL
2.99801618304362,15.928624781925782,DCEP,,FUNDAMENTAL
1.8718354600770672,15.6696858029775,DCEP,,FIRST_OVERTONE
3.1513973955476158,15.080734753157227,DCEP,,FIRST_OVERTONE
